NAME,YEAR,CATEGORY,SUB_CATEGORY,MONTH,VALUE
venmo,2023,INCOME,OTHER,MAY,564.99
venmo,2022,INCOME,OTHER,MAY,
Wage,2024,INCOME,WAGE,MAY,6960.0
Wage,2023,INCOME,WAGE,MAY,4939.31
wage,2022,INCOME,WAGE,MAY,
Wage,2021,INCOME,WAGE,MAY,
Water/Sewer/Trash,2024,EXPENSE,UTILITY,MAY,
Water/Sewer/Trash,2023,EXPENSE,UTILITY,MAY,
Water/Sewer/Trash,2022,EXPENSE,UTILITY,MAY,
Water/Sewer/Trash,2021,EXPENSE,UTILITY,MAY,
401k,2024,INCOME,EMPLOYEE_BENEFIT,JUNE,849.0
401k,2023,INCOME,EMPLOYEE_BENEFIT,JUNE,1813.5
American Express,2024,BANK,CARD,JUNE,2593.0
American Express,2023,BANK,CARD,JUNE,2003.0
Apple,2024,BANK,CARD,JUNE,76.0
Apple,2023,BANK,CARD,JUNE,
Chase,2024,BANK,CARD,JUNE,44.0
Chase,2023,BANK,CARD,JUNE,292.0
Debt re-payment,2024,EXPENSE,OTHER,JUNE,500.0
Debt re-payment,2023,EXPENSE,OTHER,JUNE,500.0
Discover,2024,BANK,CARD,JUNE,8.0
Discover,2023,BANK,CARD,JUNE,139.0
Discover,2022,BANK,CARD,JUNE,1038.77
Discover,2021,BANK,CARD,JUNE,
Dividends,2024,INCOME,OTHER,JUNE,
Dividends,2023,INCOME,OTHER,JUNE,
Dividends,2022,INCOME,OTHER,JUNE,
Dividends,2021,INCOME,OTHER,JUNE,
Electricity,2024,EXPENSE,UTILITY,JUNE,106.5
Electricity,2023,EXPENSE,UTILITY,JUNE,91.5
Electricity,2022,EXPENSE,UTILITY,JUNE,83.105
Electricity,2021,EXPENSE,UTILITY,JUNE,
Gas,2024,EXPENSE,UTILITY,JUNE,37.5
Gas,2023,EXPENSE,UTILITY,JUNE,36.0
Gas,2022,EXPENSE,UTILITY,JUNE,29.5
Gas,2021,EXPENSE,UTILITY,JUNE,
Gifts Received,2024,INCOME,OTHER,JUNE,
Gifts Received,2023,INCOME,OTHER,JUNE,
Gifts Received,2022,INCOME,OTHER,JUNE,
Gifts Received,2021,INCOME,OTHER,JUNE,
Health Saving Account,2024,INCOME,EMPLOYEE_BENEFIT,JUNE,115.0
Health Saving Account,2023,INCOME,EMPLOYEE_BENEFIT,JUNE,80.72
Internet,2024,EXPENSE,UTILITY,JUNE,35.0
Internet,2023,EXPENSE,UTILITY,JUNE,32.5
Internet,2022,EXPENSE,UTILITY,JUNE,27.925
Internet,2021,EXPENSE,UTILITY,JUNE,
loan,2024,INCOME,OTHER,JUNE,
loan,2023,INCOME,OTHER,JUNE,
loan,2022,INCOME,OTHER,JUNE,
loan,2021,INCOME,OTHER,JUNE,
Other,2024,INCOME,OTHER,JUNE,
Other,2023,INCOME,OTHER,JUNE,
Other,2022,INCOME,OTHER,JUNE,
Other,2021,INCOME,OTHER,JUNE,
Other,2022,EXPENSE,OTHER,JUNE,
Other USAA,2024,BANK,CARD,JUNE,100.0
Other USAA,2023,BANK,CARD,JUNE,108.0
Phone,2024,EXPENSE,UTILITY,JUNE,73.0
Phone,2023,EXPENSE,UTILITY,JUNE,67.0
Phone,2022,EXPENSE,UTILITY,JUNE,
Phone,2021,EXPENSE,UTILITY,JUNE,
Refunds/Reimbursements,2024,INCOME,OTHER,JUNE,
Refunds/Reimbursements,2023,INCOME,OTHER,JUNE,
Refunds/Reimbursements,2022,INCOME,OTHER,JUNE,
Refunds/Reimbursements,2021,INCOME,OTHER,JUNE,
Rent,2023,EXPENSE,RENT,JUNE,1088.0
Rent,2022,EXPENSE,RENT,JUNE,998.195
Rent,2021,EXPENSE,RENT,JUNE,
Rent,2024,EXPENSE,RENT,JUNE,1300.5
Stock Purchase Plan,2024,INCOME,EMPLOYEE_BENEFIT,JUNE,850.0
Stock Purchase Plan,2023,INCOME,EMPLOYEE_BENEFIT,JUNE,
Transfer From Savings,2021,INCOME,OTHER,JUNE,
venmo,2024,INCOME,OTHER,JUNE,91.0
venmo,2023,INCOME,OTHER,JUNE,564.99
venmo,2022,INCOME,OTHER,JUNE,
Wage,2024,INCOME,WAGE,JUNE,4640.0
Wage,2023,INCOME,WAGE,JUNE,7410.0
wage,2022,INCOME,WAGE,JUNE,4464.28
Wage,2021,INCOME,WAGE,JUNE,
Water/Sewer/Trash,2024,EXPENSE,UTILITY,JUNE,
Water/Sewer/Trash,2023,EXPENSE,UTILITY,JUNE,
Water/Sewer/Trash,2022,EXPENSE,UTILITY,JUNE,
Water/Sewer/Trash,2021,EXPENSE,UTILITY,JUNE,
401k,2024,INCOME,EMPLOYEE_BENEFIT,JULY,1272.0
401k,2023,INCOME,EMPLOYEE_BENEFIT,JULY,1209.0
American Express,2024,BANK,CARD,JULY,2587.0
American Express,2023,BANK,CARD,JULY,1572.17
Apple,2024,BANK,CARD,JULY,90.0
Apple,2023,BANK,CARD,JULY,207.0
Chase,2024,BANK,CARD,JULY,38.0
Chase,2023,BANK,CARD,JULY,125.0
Debt re-payment,2024,EXPENSE,OTHER,JULY,500.0
Debt re-payment,2023,EXPENSE,OTHER,JULY,500.0
Discover,2024,BANK,CARD,JULY,4.0
Discover,2023,BANK,CARD,JULY,216.0
Discover,2022,BANK,CARD,JULY,1760.39
Discover,2021,BANK,CARD,JULY,
Dividends,2024,INCOME,OTHER,JULY,
Dividends,2023,INCOME,OTHER,JULY,
Dividends,2022,INCOME,OTHER,JULY,
Dividends,2021,INCOME,OTHER,JULY,
Electricity,2024,EXPENSE,UTILITY,JULY,92.0
Electricity,2023,EXPENSE,UTILITY,JULY,101.0
Electricity,2022,EXPENSE,UTILITY,JULY,78.5
Electricity,2021,EXPENSE,UTILITY,JULY,
Gas,2024,EXPENSE,UTILITY,JULY,35.0
Gas,2023,EXPENSE,UTILITY,JULY,34.0
Gas,2022,EXPENSE,UTILITY,JULY,30.0
Gas,2021,EXPENSE,UTILITY,JULY,
Gifts Received,2024,INCOME,OTHER,JULY,
Gifts Received,2023,INCOME,OTHER,JULY,
Gifts Received,2022,INCOME,OTHER,JULY,
Gifts Received,2021,INCOME,OTHER,JULY,
Health Saving Account,2024,INCOME,EMPLOYEE_BENEFIT,JULY,76.0
Health Saving Account,2023,INCOME,EMPLOYEE_BENEFIT,JULY,81.26
Internet,2024,EXPENSE,UTILITY,JULY,35.0
Internet,2023,EXPENSE,UTILITY,JULY,32.5
Internet,2022,EXPENSE,UTILITY,JULY,32.97
Internet,2021,EXPENSE,UTILITY,JULY,
loan,2024,INCOME,OTHER,JULY,
loan,2023,INCOME,OTHER,JULY,
loan,2022,INCOME,OTHER,JULY,
loan,2021,INCOME,OTHER,JULY,
Other,2024,INCOME,OTHER,JULY,
Other,2023,INCOME,OTHER,JULY,
Other,2022,INCOME,OTHER,JULY,
Other,2021,INCOME,OTHER,JULY,
Other,2022,EXPENSE,OTHER,JULY,
Other USAA,2024,BANK,CARD,JULY,275.0
Other USAA,2023,BANK,CARD,JULY,
Phone,2024,EXPENSE,UTILITY,JULY,73.0
Phone,2023,EXPENSE,UTILITY,JULY,67.0
Phone,2022,EXPENSE,UTILITY,JULY,
Phone,2021,EXPENSE,UTILITY,JULY,
Refunds/Reimbursements,2024,INCOME,OTHER,JULY,
Refunds/Reimbursements,2023,INCOME,OTHER,JULY,114.0
Refunds/Reimbursements,2022,INCOME,OTHER,JULY,
Refunds/Reimbursements,2021,INCOME,OTHER,JULY,
Rent,2023,EXPENSE,RENT,JULY,1068.245
Rent,2022,EXPENSE,RENT,JULY,1030.0
Rent,2021,EXPENSE,RENT,JULY,359.5
Rent,2024,EXPENSE,RENT,JULY,346.5
Stock Purchase Plan,2024,INCOME,EMPLOYEE_BENEFIT,JULY,848.0
